Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
lock0priv.inl;243;0.141002;0.141002;0.0;0.0
strlen-avx2.S;85;0.141001;0.141001;0.0;0.0
array.c;348;0.140999;0.140999;0.0;0.0
ctype-unidata.h;129;0.140991;0.140991;0.0;0.0
dict0mem.h;2832;0.140036;0.140036;0.0;0.0
sql_list.h;426;0.140003;0.140003;0.0;0.0
strmake.c;36;0.140002;0.140002;0.0;0.0
ut0byte.h;92;0.140000;0.140000;0.0;0.0
hasher-mysql5x.c;23;0.139999;0.139999;0.0;0.0
pthread_getspecific.c;55;0.139999;0.139999;0.0;0.0
atomic_base.h;631;0.139003;0.139003;0.0;0.0
ha_innodb.cc;16611;0.139000;0.139000;0.0;0.0
sql_list.h;154;0.139000;0.139000;0.0;0.0
memmove-vec-unaligned-erms.S;378;0.131999;0.131999;0.0;0.0
sql_list.h;154;0.131999;0.131999;0.0;0.0
ha_innodb.cc;7369;0.131005;0.131005;0.0;0.0
psi_noop.c;507;0.131001;0.131001;0.0;0.0
lock0lock.h;709;0.130999;0.130999;0.0;0.0
poll.c;43;0.130000;0.130000;0.0;0.0
mach0data.inl;206;0.129999;0.129999;0.0;0.0
mtr0log.h;138;0.129998;0.129998;0.0;0.0
row0sel.cc;3079;0.129998;0.129998;0.0;0.0
ha_innodb.cc;16257;0.129998;0.129998;0.0;0.0
item.cc;6910;0.129997;0.129997;0.0;0.0
mtr0mtr.cc;595;0.129996;0.129996;0.0;0.0
sql_list.h;440;0.129000;0.129000;0.0;0.0
mdl.cc;2703;0.128999;0.128999;0.0;0.0
lf_dynarray.c;96;0.128999;0.128999;0.0;0.0
ctype-utf8.h;149;0.127998;0.127998;0.0;0.0
mysqld.cc;3851;0.127996;0.127996;0.0;0.0
memset-vec-unaligned-erms.S;326;0.123002;0.123002;0.0;0.0
strings_def.h;100;0.120998;0.120998;0.0;0.0
lock.cc;819;0.120001;0.120001;0.0;0.0
malloc.c;3279;0.120000;0.120000;0.0;0.0
psi_noop.c;867;0.120000;0.120000;0.0;0.0
item_cmpfunc.cc;438;0.119999;0.119999;0.0;0.0
sql_alloc.h;37;0.119999;0.119999;0.0;0.0
malloc.c;3259;0.119998;0.119998;0.0;0.0
malloc.c;3247;0.119997;0.119997;0.0;0.0
sql_type.h;5474;0.119995;0.119995;0.0;0.0
mysql_stage.h;112;0.119994;0.119994;0.0;0.0
sql_class.cc;6490;0.118999;0.118999;0.0;0.0
item.h;4568;0.118998;0.118998;0.0;0.0
malloc.c;3319;0.118000;0.118000;0.0;0.0
sql_statistics.cc;3259;0.111001;0.111001;0.0;0.0
my_cpu.h;94;0.111001;0.111001;0.0;0.0
sql_parse.cc;2450;0.111001;0.111001;0.0;0.0
sql_list.h;428;0.110994;0.110994;0.0;0.0
page0cur.cc;129;0.110004;0.110004;0.0;0.0
sql_audit.cc;148;0.110003;0.110003;0.0;0.0
lf_hash.cc;115;0.110001;0.110001;0.0;0.0
mdl.h;388;0.110001;0.110001;0.0;0.0
mdl.cc;2897;0.110001;0.110001;0.0;0.0
mtr0log.h;425;0.110001;0.110001;0.0;0.0
my_json_writer.h;449;0.110000;0.110000;0.0;0.0
sql_class.cc;6917;0.110000;0.110000;0.0;0.0
pthread_mutex_unlock.c;43;0.110000;0.110000;0.0;0.0
buf0buf.h;1533;0.110000;0.110000;0.0;0.0
